Incident_ID,Date_Time,State,City,Location,Crime_Type,Description
CR-1000,2025-05-02 22:52,Uttarakhand,Roorkee,"Roorkee, Uttarakhand",Cybercrime,"Phishing scam targeting residents of Roorkee, Uttarakhand"
CR-1001,2026-04-16 02:18,Jammu and Kashmir,Jammu,"Jammu, Jammu and Kashmir",Burglary,"Break-in at a residential house in Jammu, Jammu and Kashmir"
CR-1002,2025-10-08 07:37,Punjab,Ludhiana,"Ludhiana, Punjab",Drug Trafficking,"Suspicious individuals caught with narcotics near Ludhiana, Punjab border"
CR-1003,2026-01-25 17:45,Haryana,Gurugram,"Gurugram, Haryana",Cybercrime,"Online bank fraud reported from Gurugram, Haryana"
CR-1004,2025-07-25 13:03,Punjab,Jalandhar,"Jalandhar, Punjab",Vandalism,"Graffiti and window smashing at Jalandhar, Punjab shop"
CR-1005,2026-01-05 00:13,Uttar Pradesh,Varanasi,"Varanasi, Uttar Pradesh",Vandalism,"Graffiti and window smashing at Varanasi, Uttar Pradesh shop"
CR-1006,2025-08-27 21:07,Uttarakhand,Nainital,"Nainital, Uttarakhand",Assault,"Street fight resulting in minor injuries at Nainital, Uttarakhand"
CR-1007,2025-09-19 09:06,Uttarakhand,Nainital,"Nainital, Uttarakhand",Fraud,"Real estate fraud reported in Nainital, Uttarakhand"
CR-1008,2026-03-13 01:04,Punjab,Amritsar,"Amritsar, Punjab",Drug Trafficking,"Suspicious individuals caught with narcotics near Amritsar, Punjab border"
CR-1009,2026-01-09 04:15,Jammu and Kashmir,Baramulla,"Baramulla, Jammu and Kashmir",Drug Trafficking,"Suspicious individuals caught with narcotics near Baramulla, Jammu and Kashmir border"
CR-1010,2025-05-27 16:05,Haryana,Gurugram,"Gurugram, Haryana",Theft,"Pickpocketing incident reported at Gurugram, Haryana market"
CR-1011,2025-10-30 11:33,Punjab,Patiala,"Patiala, Punjab",Fraud,"Counterfeit currency circulated in Patiala, Punjab market"
CR-1012,2026-04-14 04:28,Himachal Pradesh,Dharamshala,"Dharamshala, Himachal Pradesh",Burglary,"Shop burgled late night in Dharamshala, Himachal Pradesh"
CR-1013,2026-04-21 20:42,Uttarakhand,Dehradun,"Dehradun, Uttarakhand",Theft,"Stolen wallet from Dehradun, Uttarakhand"
CR-1014,2025-05-14 21:26,Jammu and Kashmir,Baramulla,"Baramulla, Jammu and Kashmir",Drug Trafficking,"Suspicious individuals caught with narcotics near Baramulla, Jammu and Kashmir border"
CR-1015,2025-09-07 08:04,Haryana,Faridabad,"Faridabad, Haryana",Cybercrime,"Identity theft incident logged from Faridabad, Haryana"
CR-1016,2026-01-17 15:08,Jammu and Kashmir,Baramulla,"Baramulla, Jammu and Kashmir",Cybercrime,"Online bank fraud reported from Baramulla, Jammu and Kashmir"
CR-1017,2025-05-08 23:07,Uttar Pradesh,Kanpur,"Kanpur, Uttar Pradesh",Assault,"Assault incident in Kanpur, Uttar Pradesh park"
CR-1018,2025-12-28 21:01,Uttar Pradesh,Varanasi,"Varanasi, Uttar Pradesh",Vehicle Theft,"Motorcycle lifted from Varanasi, Uttar Pradesh market area"
CR-1019,2025-07-21 15:36,Haryana,Ambala,"Ambala, Haryana",Theft,"Pickpocketing incident reported at Ambala, Haryana market"
CR-1020,2025-12-31 04:25,Haryana,Gurugram,"Gurugram, Haryana",Fraud,"Fake investment scheme exposed in Gurugram, Haryana"
CR-1021,2025-08-21 19:04,Jammu and Kashmir,Jammu,"Jammu, Jammu and Kashmir",Drug Trafficking,"Suspicious individuals caught with narcotics near Jammu, Jammu and Kashmir border"
CR-1022,2026-01-21 15:54,Himachal Pradesh,Manali,"Manali, Himachal Pradesh",Assault,"Street fight resulting in minor injuries at Manali, Himachal Pradesh"
CR-1023,2025-06-08 19:20,Uttarakhand,Roorkee,"Roorkee, Uttarakhand",Assault,"Street fight resulting in minor injuries at Roorkee, Uttarakhand"
CR-1024,2025-07-18 18:17,Himachal Pradesh,Manali,"Manali, Himachal Pradesh",Vandalism,"Vandalism reported at Manali, Himachal Pradesh community center"
CR-1025,2025-07-16 05:42,Himachal Pradesh,Dharamshala,"Dharamshala, Himachal Pradesh",Vandalism,"Vandalism reported at Dharamshala, Himachal Pradesh community center"
CR-1026,2025-08-31 05:05,Haryana,Ambala,"Ambala, Haryana",Fraud,"Real estate fraud reported in Ambala, Haryana"
CR-1027,2026-03-09 08:47,Uttar Pradesh,Lucknow,"Lucknow, Uttar Pradesh",Vehicle Theft,"Car stolen from residential parking in Lucknow, Uttar Pradesh"
CR-1028,2026-02-08 22:53,Uttar Pradesh,Agra,"Agra, Uttar Pradesh",Fraud,"Real estate fraud reported in Agra, Uttar Pradesh"
CR-1029,2026-02-12 19:51,Uttar Pradesh,Agra,"Agra, Uttar Pradesh",Drug Trafficking,"Suspicious individuals caught with narcotics near Agra, Uttar Pradesh border"
CR-1030,2025-11-22 05:21,Uttar Pradesh,Varanasi,"Varanasi, Uttar Pradesh",Cybercrime,"Online bank fraud reported from Varanasi, Uttar Pradesh"
CR-1031,2025-05-10 14:56,Haryana,Ambala,"Ambala, Haryana",Theft,"Bag snatched near Ambala, Haryana bus stand"
CR-1032,2025-05-12 14:59,Jammu and Kashmir,Anantnag,"Anantnag, Jammu and Kashmir",Drug Trafficking,"Illegal substance distribution stopped in Anantnag, Jammu and Kashmir"
CR-1033,2026-03-01 11:19,Jammu and Kashmir,Anantnag,"Anantnag, Jammu and Kashmir",Vandalism,"Vandalism reported at Anantnag, Jammu and Kashmir community center"
CR-1034,2025-05-30 21:22,Himachal Pradesh,Dharamshala,"Dharamshala, Himachal Pradesh",Vandalism,"Graffiti and window smashing at Dharamshala, Himachal Pradesh shop"
CR-1035,2025-04-26 02:32,Punjab,Jalandhar,"Jalandhar, Punjab",Burglary,"Shop burgled late night in Jalandhar, Punjab"
CR-1036,2025-08-24 22:40,Punjab,Jalandhar,"Jalandhar, Punjab",Burglary,"Valuables stolen from an apartment in Jalandhar, Punjab"
CR-1037,2026-04-09 01:33,Uttar Pradesh,Kanpur,"Kanpur, Uttar Pradesh",Assault,"Physical altercation reported outside a bar in Kanpur, Uttar Pradesh"
CR-1038,2025-12-12 00:50,Jammu and Kashmir,Jammu,"Jammu, Jammu and Kashmir",Vehicle Theft,"Vehicle hijacked on the highway near Jammu, Jammu and Kashmir"
CR-1039,2025-10-20 22:00,Punjab,Amritsar,"Amritsar, Punjab",Burglary,"Break-in at a residential house in Amritsar, Punjab"
CR-1040,2026-02-15 17:23,Uttarakhand,Dehradun,"Dehradun, Uttarakhand",Vandalism,"Public property damaged in Dehradun, Uttarakhand"
CR-1041,2025-09-11 00:59,Uttar Pradesh,Noida,"Noida, Uttar Pradesh",Drug Trafficking,"Drug bust operation successful in Noida, Uttar Pradesh"
CR-1042,2025-08-02 21:50,Uttar Pradesh,Noida,"Noida, Uttar Pradesh",Theft,"Bag snatched near Noida, Uttar Pradesh bus stand"
CR-1043,2026-02-10 23:27,Uttarakhand,Nainital,"Nainital, Uttarakhand",Vandalism,"Public property damaged in Nainital, Uttarakhand"
CR-1044,2025-05-11 15:35,Himachal Pradesh,Manali,"Manali, Himachal Pradesh",Fraud,"Fake investment scheme exposed in Manali, Himachal Pradesh"
CR-1045,2025-07-15 08:11,Uttarakhand,Haridwar,"Haridwar, Uttarakhand",Drug Trafficking,"Illegal substance distribution stopped in Haridwar, Uttarakhand"
CR-1046,2026-01-03 04:52,Uttar Pradesh,Lucknow,"Lucknow, Uttar Pradesh",Vandalism,"Graffiti and window smashing at Lucknow, Uttar Pradesh shop"
CR-1047,2025-06-16 21:00,Uttarakhand,Roorkee,"Roorkee, Uttarakhand",Vandalism,"Public property damaged in Roorkee, Uttarakhand"
CR-1048,2026-01-17 02:57,Punjab,Patiala,"Patiala, Punjab",Cybercrime,"Online bank fraud reported from Patiala, Punjab"
CR-1049,2025-06-08 00:35,Uttarakhand,Nainital,"Nainital, Uttarakhand",Vandalism,"Public property damaged in Nainital, Uttarakhand"
CR-1050,2025-05-11 18:45,Punjab,Ludhiana,"Ludhiana, Punjab",Drug Trafficking,"Suspicious individuals caught with narcotics near Ludhiana, Punjab border"
CR-1051,2026-02-06 06:20,Punjab,Amritsar,"Amritsar, Punjab",Vandalism,"Vandalism reported at Amritsar, Punjab community center"
CR-1052,2026-01-23 08:54,Jammu and Kashmir,Baramulla,"Baramulla, Jammu and Kashmir",Vehicle Theft,"Vehicle hijacked on the highway near Baramulla, Jammu and Kashmir"
CR-1053,2026-03-03 07:00,Uttar Pradesh,Agra,"Agra, Uttar Pradesh",Fraud,"Real estate fraud reported in Agra, Uttar Pradesh"
CR-1054,2025-05-27 11:18,Uttar Pradesh,Lucknow,"Lucknow, Uttar Pradesh",Theft,"Bag snatched near Lucknow, Uttar Pradesh bus stand"
CR-1055,2025-05-08 08:36,Punjab,Ludhiana,"Ludhiana, Punjab",Assault,"Street fight resulting in minor injuries at Ludhiana, Punjab"
CR-1056,2025-05-15 23:54,Uttar Pradesh,Kanpur,"Kanpur, Uttar Pradesh",Assault,"Street fight resulting in minor injuries at Kanpur, Uttar Pradesh"
CR-1057,2025-07-15 04:00,Uttar Pradesh,Kanpur,"Kanpur, Uttar Pradesh",Assault,"Assault incident in Kanpur, Uttar Pradesh park"
CR-1058,2025-10-30 15:57,Haryana,Panipat,"Panipat, Haryana",Vandalism,"Public property damaged in Panipat, Haryana"
CR-1059,2025-06-10 10:56,Uttar Pradesh,Noida,"Noida, Uttar Pradesh",Assault,"Assault incident in Noida, Uttar Pradesh park"
CR-1060,2025-09-21 00:32,Uttarakhand,Roorkee,"Roorkee, Uttarakhand",Theft,"Pickpocketing incident reported at Roorkee, Uttarakhand market"
CR-1061,2025-05-30 10:12,Uttarakhand,Nainital,"Nainital, Uttarakhand",Burglary,"Shop burgled late night in Nainital, Uttarakhand"
CR-1062,2026-03-08 12:48,Haryana,Gurugram,"Gurugram, Haryana",Theft,"Pickpocketing incident reported at Gurugram, Haryana market"
CR-1063,2025-09-05 00:25,Himachal Pradesh,Shimla,"Shimla, Himachal Pradesh",Cybercrime,"Phishing scam targeting residents of Shimla, Himachal Pradesh"
CR-1064,2025-08-23 20:00,Haryana,Faridabad,"Faridabad, Haryana",Cybercrime,"Phishing scam targeting residents of Faridabad, Haryana"
CR-1065,2026-03-09 18:28,Jammu and Kashmir,Srinagar,"Srinagar, Jammu and Kashmir",Cybercrime,"Identity theft incident logged from Srinagar, Jammu and Kashmir"
CR-1066,2026-01-05 01:42,Jammu and Kashmir,Srinagar,"Srinagar, Jammu and Kashmir",Assault,"Physical altercation reported outside a bar in Srinagar, Jammu and Kashmir"
CR-1067,2025-12-21 04:19,Jammu and Kashmir,Jammu,"Jammu, Jammu and Kashmir",Theft,"Stolen wallet from Jammu, Jammu and Kashmir"
CR-1068,2025-07-09 23:09,Haryana,Faridabad,"Faridabad, Haryana",Cybercrime,"Identity theft incident logged from Faridabad, Haryana"
CR-1069,2025-06-29 03:32,Himachal Pradesh,Solan,"Solan, Himachal Pradesh",Burglary,"Break-in at a residential house in Solan, Himachal Pradesh"
CR-1070,2025-09-08 10:04,Himachal Pradesh,Dharamshala,"Dharamshala, Himachal Pradesh",Vandalism,"Public property damaged in Dharamshala, Himachal Pradesh"
CR-1071,2025-05-09 03:01,Jammu and Kashmir,Srinagar,"Srinagar, Jammu and Kashmir",Burglary,"Valuables stolen from an apartment in Srinagar, Jammu and Kashmir"
CR-1072,2025-09-12 20:53,Haryana,Ambala,"Ambala, Haryana",Assault,"Assault incident in Ambala, Haryana park"
CR-1073,2026-01-06 14:11,Uttar Pradesh,Lucknow,"Lucknow, Uttar Pradesh",Theft,"Stolen wallet from Lucknow, Uttar Pradesh"
CR-1074,2026-02-07 22:00,Uttar Pradesh,Lucknow,"Lucknow, Uttar Pradesh",Assault,"Assault incident in Lucknow, Uttar Pradesh park"
CR-1075,2025-05-12 09:37,Himachal Pradesh,Shimla,"Shimla, Himachal Pradesh",Cybercrime,"Phishing scam targeting residents of Shimla, Himachal Pradesh"
CR-1076,2025-11-18 09:14,Haryana,Gurugram,"Gurugram, Haryana",Burglary,"Valuables stolen from an apartment in Gurugram, Haryana"
CR-1077,2025-11-08 15:16,Uttarakhand,Nainital,"Nainital, Uttarakhand",Drug Trafficking,"Drug bust operation successful in Nainital, Uttarakhand"
CR-1078,2025-12-04 10:48,Uttar Pradesh,Noida,"Noida, Uttar Pradesh",Fraud,"Real estate fraud reported in Noida, Uttar Pradesh"
CR-1079,2025-06-17 03:31,Haryana,Ambala,"Ambala, Haryana",Vehicle Theft,"Motorcycle lifted from Ambala, Haryana market area"
CR-1080,2025-12-16 18:46,Punjab,Amritsar,"Amritsar, Punjab",Burglary,"Shop burgled late night in Amritsar, Punjab"
CR-1081,2025-12-22 23:24,Haryana,Ambala,"Ambala, Haryana",Fraud,"Counterfeit currency circulated in Ambala, Haryana market"
CR-1082,2025-11-24 11:16,Uttarakhand,Dehradun,"Dehradun, Uttarakhand",Assault,"Assault incident in Dehradun, Uttarakhand park"
CR-1083,2026-04-05 10:49,Himachal Pradesh,Manali,"Manali, Himachal Pradesh",Theft,"Pickpocketing incident reported at Manali, Himachal Pradesh market"
CR-1084,2026-01-30 19:22,Punjab,Jalandhar,"Jalandhar, Punjab",Burglary,"Valuables stolen from an apartment in Jalandhar, Punjab"
CR-1085,2025-06-20 20:53,Himachal Pradesh,Shimla,"Shimla, Himachal Pradesh",Theft,"Stolen wallet from Shimla, Himachal Pradesh"
CR-1086,2025-05-07 07:41,Jammu and Kashmir,Anantnag,"Anantnag, Jammu and Kashmir",Theft,"Stolen wallet from Anantnag, Jammu and Kashmir"
CR-1087,2025-12-21 17:11,Himachal Pradesh,Solan,"Solan, Himachal Pradesh",Vehicle Theft,"Vehicle hijacked on the highway near Solan, Himachal Pradesh"
CR-1088,2026-01-19 09:27,Uttarakhand,Roorkee,"Roorkee, Uttarakhand",Theft,"Pickpocketing incident reported at Roorkee, Uttarakhand market"
CR-1089,2026-04-02 18:47,Uttarakhand,Dehradun,"Dehradun, Uttarakhand",Theft,"Bag snatched near Dehradun, Uttarakhand bus stand"
CR-1090,2026-03-30 02:25,Uttarakhand,Roorkee,"Roorkee, Uttarakhand",Drug Trafficking,"Drug bust operation successful in Roorkee, Uttarakhand"
CR-1091,2025-07-24 17:32,Haryana,Ambala,"Ambala, Haryana",Drug Trafficking,"Illegal substance distribution stopped in Ambala, Haryana"
CR-1092,2025-06-08 01:36,Uttarakhand,Roorkee,"Roorkee, Uttarakhand",Vehicle Theft,"Motorcycle lifted from Roorkee, Uttarakhand market area"
CR-1093,2026-04-15 00:14,Jammu and Kashmir,Srinagar,"Srinagar, Jammu and Kashmir",Assault,"Assault incident in Srinagar, Jammu and Kashmir park"
CR-1094,2025-09-20 14:08,Uttarakhand,Roorkee,"Roorkee, Uttarakhand",Fraud,"Fake investment scheme exposed in Roorkee, Uttarakhand"
CR-1095,2025-10-03 04:54,Jammu and Kashmir,Srinagar,"Srinagar, Jammu and Kashmir",Assault,"Street fight resulting in minor injuries at Srinagar, Jammu and Kashmir"
CR-1096,2026-03-06 13:04,Haryana,Gurugram,"Gurugram, Haryana",Drug Trafficking,"Drug bust operation successful in Gurugram, Haryana"
CR-1097,2026-02-09 14:27,Punjab,Ludhiana,"Ludhiana, Punjab",Theft,"Stolen wallet from Ludhiana, Punjab"
CR-1098,2026-04-24 11:02,Haryana,Panipat,"Panipat, Haryana",Cybercrime,"Phishing scam targeting residents of Panipat, Haryana"
CR-1099,2026-02-13 11:10,Jammu and Kashmir,Anantnag,"Anantnag, Jammu and Kashmir",Assault,"Assault incident in Anantnag, Jammu and Kashmir park"
CR-1100,2025-05-26 07:16,Jammu and Kashmir,Baramulla,"Baramulla, Jammu and Kashmir",Burglary,"Valuables stolen from an apartment in Baramulla, Jammu and Kashmir"
CR-1101,2025-05-15 04:18,Jammu and Kashmir,Anantnag,"Anantnag, Jammu and Kashmir",Vehicle Theft,"Car stolen from residential parking in Anantnag, Jammu and Kashmir"
CR-1102,2025-05-07 02:35,Jammu and Kashmir,Jammu,"Jammu, Jammu and Kashmir",Burglary,"Valuables stolen from an apartment in Jammu, Jammu and Kashmir"
CR-1103,2026-03-06 16:58,Himachal Pradesh,Manali,"Manali, Himachal Pradesh",Vehicle Theft,"Car stolen from residential parking in Manali, Himachal Pradesh"
CR-1104,2025-12-15 02:13,Uttarakhand,Dehradun,"Dehradun, Uttarakhand",Burglary,"Valuables stolen from an apartment in Dehradun, Uttarakhand"
CR-1105,2026-01-18 02:19,Himachal Pradesh,Solan,"Solan, Himachal Pradesh",Assault,"Assault incident in Solan, Himachal Pradesh park"
CR-1106,2026-02-16 02:24,Uttarakhand,Haridwar,"Haridwar, Uttarakhand",Theft,"Bag snatched near Haridwar, Uttarakhand bus stand"
CR-1107,2026-03-03 17:01,Himachal Pradesh,Dharamshala,"Dharamshala, Himachal Pradesh",Cybercrime,"Identity theft incident logged from Dharamshala, Himachal Pradesh"
CR-1108,2025-09-09 16:55,Punjab,Jalandhar,"Jalandhar, Punjab",Drug Trafficking,"Illegal substance distribution stopped in Jalandhar, Punjab"
CR-1109,2025-11-26 17:26,Punjab,Amritsar,"Amritsar, Punjab",Fraud,"Counterfeit currency circulated in Amritsar, Punjab market"
CR-1110,2025-05-29 15:32,Uttarakhand,Nainital,"Nainital, Uttarakhand",Vehicle Theft,"Motorcycle lifted from Nainital, Uttarakhand market area"
CR-1111,2025-10-12 13:32,Jammu and Kashmir,Srinagar,"Srinagar, Jammu and Kashmir",Vehicle Theft,"Car stolen from residential parking in Srinagar, Jammu and Kashmir"
CR-1112,2025-07-14 21:03,Uttarakhand,Nainital,"Nainital, Uttarakhand",Vehicle Theft,"Vehicle hijacked on the highway near Nainital, Uttarakhand"
CR-1113,2026-03-13 14:07,Uttarakhand,Nainital,"Nainital, Uttarakhand",Theft,"Pickpocketing incident reported at Nainital, Uttarakhand market"
CR-1114,2025-10-18 23:59,Punjab,Patiala,"Patiala, Punjab",Assault,"Assault incident in Patiala, Punjab park"
CR-1115,2026-02-04 03:47,Uttarakhand,Dehradun,"Dehradun, Uttarakhand",Vandalism,"Vandalism reported at Dehradun, Uttarakhand community center"
CR-1116,2025-06-29 03:01,Jammu and Kashmir,Anantnag,"Anantnag, Jammu and Kashmir",Vehicle Theft,"Vehicle hijacked on the highway near Anantnag, Jammu and Kashmir"
CR-1117,2026-01-20 01:30,Uttarakhand,Roorkee,"Roorkee, Uttarakhand",Assault,"Physical altercation reported outside a bar in Roorkee, Uttarakhand"
CR-1118,2025-05-11 22:07,Haryana,Gurugram,"Gurugram, Haryana",Burglary,"Break-in at a residential house in Gurugram, Haryana"
CR-1119,2025-11-21 07:58,Haryana,Gurugram,"Gurugram, Haryana",Drug Trafficking,"Suspicious individuals caught with narcotics near Gurugram, Haryana border"
CR-1120,2025-07-30 08:36,Haryana,Panipat,"Panipat, Haryana",Fraud,"Fake investment scheme exposed in Panipat, Haryana"
CR-1121,2025-05-05 03:16,Jammu and Kashmir,Jammu,"Jammu, Jammu and Kashmir",Burglary,"Break-in at a residential house in Jammu, Jammu and Kashmir"
CR-1122,2026-01-24 12:49,Himachal Pradesh,Dharamshala,"Dharamshala, Himachal Pradesh",Vehicle Theft,"Vehicle hijacked on the highway near Dharamshala, Himachal Pradesh"
CR-1123,2025-10-16 08:48,Uttar Pradesh,Kanpur,"Kanpur, Uttar Pradesh",Vandalism,"Graffiti and window smashing at Kanpur, Uttar Pradesh shop"
CR-1124,2025-06-20 12:49,Haryana,Gurugram,"Gurugram, Haryana",Fraud,"Counterfeit currency circulated in Gurugram, Haryana market"
CR-1125,2025-11-28 04:40,Uttarakhand,Haridwar,"Haridwar, Uttarakhand",Burglary,"Valuables stolen from an apartment in Haridwar, Uttarakhand"
CR-1126,2025-08-06 12:31,Uttar Pradesh,Noida,"Noida, Uttar Pradesh",Theft,"Bag snatched near Noida, Uttar Pradesh bus stand"
CR-1127,2025-04-27 23:39,Uttarakhand,Dehradun,"Dehradun, Uttarakhand",Drug Trafficking,"Illegal substance distribution stopped in Dehradun, Uttarakhand"
CR-1128,2026-04-07 00:42,Himachal Pradesh,Solan,"Solan, Himachal Pradesh",Burglary,"Shop burgled late night in Solan, Himachal Pradesh"
CR-1129,2025-07-26 04:45,Himachal Pradesh,Shimla,"Shimla, Himachal Pradesh",Vehicle Theft,"Vehicle hijacked on the highway near Shimla, Himachal Pradesh"
CR-1130,2025-06-10 00:47,Uttar Pradesh,Varanasi,"Varanasi, Uttar Pradesh",Fraud,"Real estate fraud reported in Varanasi, Uttar Pradesh"
CR-1131,2026-01-02 14:04,Uttar Pradesh,Lucknow,"Lucknow, Uttar Pradesh",Drug Trafficking,"Drug bust operation successful in Lucknow, Uttar Pradesh"
CR-1132,2025-08-21 10:06,Himachal Pradesh,Dharamshala,"Dharamshala, Himachal Pradesh",Theft,"Stolen wallet from Dharamshala, Himachal Pradesh"
CR-1133,2025-12-12 11:56,Punjab,Jalandhar,"Jalandhar, Punjab",Cybercrime,"Phishing scam targeting residents of Jalandhar, Punjab"
CR-1134,2025-08-19 22:12,Punjab,Jalandhar,"Jalandhar, Punjab",Drug Trafficking,"Illegal substance distribution stopped in Jalandhar, Punjab"
CR-1135,2025-11-15 06:58,Himachal Pradesh,Dharamshala,"Dharamshala, Himachal Pradesh",Cybercrime,"Online bank fraud reported from Dharamshala, Himachal Pradesh"
CR-1136,2026-04-23 03:19,Himachal Pradesh,Dharamshala,"Dharamshala, Himachal Pradesh",Drug Trafficking,"Illegal substance distribution stopped in Dharamshala, Himachal Pradesh"
CR-1137,2026-01-12 23:05,Haryana,Panipat,"Panipat, Haryana",Assault,"Street fight resulting in minor injuries at Panipat, Haryana"
CR-1138,2025-05-06 18:24,Jammu and Kashmir,Srinagar,"Srinagar, Jammu and Kashmir",Theft,"Stolen wallet from Srinagar, Jammu and Kashmir"
CR-1139,2025-09-03 08:08,Uttarakhand,Haridwar,"Haridwar, Uttarakhand",Assault,"Assault incident in Haridwar, Uttarakhand park"
CR-1140,2026-01-29 19:17,Jammu and Kashmir,Jammu,"Jammu, Jammu and Kashmir",Assault,"Street fight resulting in minor injuries at Jammu, Jammu and Kashmir"
CR-1141,2025-06-19 18:36,Himachal Pradesh,Manali,"Manali, Himachal Pradesh",Assault,"Street fight resulting in minor injuries at Manali, Himachal Pradesh"
CR-1142,2026-03-16 17:35,Haryana,Gurugram,"Gurugram, Haryana",Cybercrime,"Online bank fraud reported from Gurugram, Haryana"
CR-1143,2026-02-05 16:09,Uttar Pradesh,Agra,"Agra, Uttar Pradesh",Vehicle Theft,"Vehicle hijacked on the highway near Agra, Uttar Pradesh"
CR-1144,2025-11-17 23:33,Uttar Pradesh,Varanasi,"Varanasi, Uttar Pradesh",Theft,"Bag snatched near Varanasi, Uttar Pradesh bus stand"
CR-1145,2025-07-22 16:55,Uttar Pradesh,Agra,"Agra, Uttar Pradesh",Drug Trafficking,"Suspicious individuals caught with narcotics near Agra, Uttar Pradesh border"
CR-1146,2026-03-05 16:36,Himachal Pradesh,Manali,"Manali, Himachal Pradesh",Assault,"Physical altercation reported outside a bar in Manali, Himachal Pradesh"
CR-1147,2025-09-06 17:30,Uttar Pradesh,Varanasi,"Varanasi, Uttar Pradesh",Vandalism,"Graffiti and window smashing at Varanasi, Uttar Pradesh shop"
CR-1148,2026-01-16 06:34,Uttarakhand,Nainital,"Nainital, Uttarakhand",Cybercrime,"Identity theft incident logged from Nainital, Uttarakhand"
CR-1149,2026-02-05 09:21,Uttar Pradesh,Noida,"Noida, Uttar Pradesh",Drug Trafficking,"Illegal substance distribution stopped in Noida, Uttar Pradesh"
